"PORT","COUNTRY","ISEU","LOCODE","LAT","LON","PORT_CALL count"
"Lowestoft","GB",1,"GBLOW",52.4776665,1.757583333,4
"Marmaris","TR",0,"TRMRM",NA,NA,4
"Marsden Point","NZ",0,"NZMAP",NA,NA,4
"Matsushima","JP",0,"JPMAT",NA,NA,4
"Mourilyan","AU",0,"AUMOU",NA,NA,4
"Noumea","NC",0,"NCNOU",-22.27534,166.4347,4
"Ogdensburg","US",0,"USOGS",44.59261833,-75.6345625,4
"Pensacola","US",0,"USPNS",30.40043167,-87.20643333,4
"Port-Grimaud","FR",1,"FRUDD",NA,NA,4
"Portland UK","GB",1,"GBPTL",50.57115,-2.441016667,4
"Progreso","MX",0,"MXPGO",21.3456,-89.68165,4
"San Pedro","CI",0,"CISPY",4.740993333,-6.616901667,4
"Searsport","US",0,"USSRP",44.450325,-68.89601667,4
"Slovag","NO",0,"NOSLV",60.75789667,5.068383333,4
"Suez","EG",0,"EGSUZ",29.94315,32.551355,4
"Suralaya","ID",0,"IDSRL",-5.878615,106.027994,4
"Swansea","GB",1,"GBSWA",51.6164425,-3.917991667,4
"Torre Annunziata","IT",1,"ITTOA",40.751133,14.4479,4
"Uerdingen","DE",1,"DEKRE",51.3505,6.6685,4
"Yongjun","CN",0,"",29.76256667,122.14915,4
"Zanzibar","TZ",0,"TZZNZ",-4.625026667,55.46216667,4
"Andenes","NO",0,"NOADN",69.23886333,16.23307583,3
"Balchik","BG",1,"BGBAL",43.20883333,28.10575,3
"Burriana","ES",1,"ESBRX",39.853075,-0.069283333,3
"Cam Pha","VN",0,"VNCPH",NA,NA,3
"Carino","ES",1,"ESCNO",NA,NA,3
"Corcubion","ES",1,"ESCCN",42.93831,-9.183333333,3
"Dongshi","CN",0,"CNDSI",NA,NA,3
"Dundee","GB",1,"GBDUN",NA,NA,3
"Funchal","PT",1,"PTFNC",32.64296667,-16.9146,3
"Green Bay","US",0,"USGRB",44.6084,-87.94031667,3
"Honfleur","FR",1,"FRHON",49.45373833,0.361783333,3
"Humber","GB",1,"GBNHO",53.71010667,-0.366091667,3
"Hundested","DK",1,"DKHUN",NA,NA,3
"Iquique","CL",0,"CLIQQ",-20.201835,-70.15024,3
"Kanda","JP",0,"JPKND",34.99519333,139.6449967,3
"La Libertad","EC",0,"ECLLD",-2.1895,-80.912,3
"Lavrio","GR",1,"GRLAV",37.70966,24.062,3
"Lengeh","IR",0,"",26.54124083,54.90027833,3
"Lidkoping","SE",1,"SELDK",58.50866183,13.16458017,3
"Messina","IT",1,"ITMSN",38.17568333,15.58572,3
"Milazzo","IT",1,"ITMLZ",NA,NA,3
"Mohammedia","MA",0,"MAMOH",33.72537333,-7.389106667,3
"New Haven","US",0,"USHVN",NA,NA,3
"New London","US",0,"USNLO",NA,NA,3
"Omi","JP",0,"JPAOM",NA,NA,3
"Oshawa","CA",0,"CAOSH",43.8551,-78.81,3
"Papenburg","DE",1,"DEPAP",53.09890667,7.392341667,3
"Pasajes","ES",1,"ESPAS",43.32203333,-1.919275,3
"Port Alma","AU",0,"AUPTL",-23.58327167,150.8631667,3
"Port de Soller","ES",1,"ESSOL",39.699365,2.289498333,3
"Punta Morales","CR",0,"CRPUM",NA,NA,3
"Qalhat","OM",0,"OMQAL",22.652125,59.43741667,3
"Skagen","DK",1,"DKSKA",57.71746417,10.58809417,3
"Skien","NO",0,"NOSKE",59.12196167,9.56487,3
"Songmenzhen","CN",0,"CNSMN",NA,NA,3
"Sunny Point Terminal","US",0,"USSUT",34.00349,-77.95267,3
"Tramandai","BR",0,"BRTRM",-30.01354,-50.09763,3
"Useless Loop","AU",0,"AUUSL",-26.10982,113.4099,3
"Vejle","DK",1,"DKVEJ",55.68757583,9.652899167,3
"Viana do Castelo","PT",1,"PTVDC",NA,NA,3
"Wewelsfleth","DE",1,"DEWEW",53.84118167,9.406135833,3
